statusId | label,,
516|Acc Gyro,,
517|Acc Gyro,,
518|Acc Gyro,,
519|Acc Gyro,,
520|Acc Gyro,,
521|Acc Gyro,,
522|Acc Gyro,,
523|Acc Gyro,,
524|Acc Gyro,,
525|Acc Gyro,,
526|Acc Gyro,,
527|Acc Gyro,,
statusId|sensorName|value|timestamp,,
516|MPU6500 Gyroscope Sensor|[0.0063915867,-0.023435818,-0.0010652645]|1500643337570
516|MPU6500 Acceleration Sensor|[-0.7062895,1.9716251,9.696517]|1500643337575
516|MPU6500 Gyroscope Sensor|[0.010652645,-0.018109497,0.0]|1500643337575
516|MPU6500 Acceleration Sensor|[-0.58897364,1.8016368,9.405622]|1500643337581
516|MPU6500 Gyroscope Sensor|[0.00958738,-0.020240024,0.0]|1500643337581
516|MPU6500 Acceleration Sensor|[-0.4417302,1.7417817,8.51019]|1500643337585
516|MPU6500 Gyroscope Sensor|[-0.0063915867,-0.01917476,-0.004261058]|1500643337585
516|MPU6500 Acceleration Sensor|[-0.50757074,1.79206,8.929175]|1500643337589
516|MPU6500 Gyroscope Sensor|[-0.029827405,-0.01917476,-0.004261058]|1500643337589
516|MPU6500 Acceleration Sensor|[-0.5303157,1.9524715,9.120711]|1500643337596
516|MPU6500 Gyroscope Sensor|[-0.01917476,-0.02130529,-0.0031957934]|1500643337596
516|MPU6500 Acceleration Sensor|[-0.9648633,2.2122424,9.495404]|1500643337600
516|MPU6500 Gyroscope Sensor|[0.0031957934,-0.02130529,0.0010652645]|1500643337600
516|MPU6500 Acceleration Sensor|[-0.89543146,2.1799207,9.331401]|1500643337606
516|MPU6500 Gyroscope Sensor|[0.020240024,-0.017044231,0.004261058]|1500643337606
516|MPU6500 Acceleration Sensor|[-0.25498247,1.6484078,9.111135]|1500643337610
516|MPU6500 Gyroscope Sensor|[0.00958738,-0.03089267,-0.002130529]|1500643337610
516|MPU6500 Acceleration Sensor|[-0.24899697,1.5813702,8.768764]|1500643337616
516|MPU6500 Gyroscope Sensor|[-0.015978966,-0.034088463,-0.0063915867]|1500643337616
516|MPU6500 Acceleration Sensor|[-1.0594343,1.3910311,9.212888]|1500643337621
516|MPU6500 Gyroscope Sensor|[-0.022370555,-0.025566347,-0.002130529]|1500643337621
516|MPU6500 Acceleration Sensor|[-0.93613285,1.602918,9.018958]|1500643337626
516|MPU6500 Gyroscope Sensor|[0.0053263223,-0.020240024,0.0010652645]|1500643337626
516|MPU6500 Acceleration Sensor|[-0.676362,1.6053122,10.042479]|1500643337630
516|MPU6500 Gyroscope Sensor|[0.018109497,-0.029827405,0.0010652645]|1500643337630
516|MPU6500 Acceleration Sensor|[-0.60094464,1.9117701,9.710882]|1500643337636
516|MPU6500 Gyroscope Sensor|[0.03195793,-0.026631612,0.0]|1500643337636
516|MPU6500 Acceleration Sensor|[-0.48482585,2.2613235,9.847352]|1500643337641
