statusId | label
533|Acc Gyro
534|Acc Gyro
535|Acc Gyro
536|Acc Gyro
537|Acc Gyro
538|Acc Gyro
539|Acc Gyro
540|Acc Gyro
541|Acc Gyro
542|Acc Gyro
543|Acc Gyro
544|Acc Gyro
545|Acc Gyro
546|Acc Gyro
547|Acc Gyro
548|Acc Gyro
549|Acc Gyro
550|Acc Gyro
551|Acc Gyro
552|Acc Gyro
553|Acc Gyro
554|Acc Gyro
555|Acc Gyro
556|Acc Gyro
557|Acc Gyro
558|Acc Gyro
559|Acc Gyro
560|Acc Gyro
561|Acc Gyro
562|Acc Gyro
563|Acc Gyro
564|Acc Gyro
565|Acc Gyro
566|Acc Gyro
567|Acc Gyro
568|Acc Gyro
569|Acc Gyro
570|Acc Gyro
statusId|sensorName|value|timestamp
533|MPU6500 Gyroscope Sensor|[0.03834952,0.099069595,0.02130529]|1500663731488
533|MPU6500 Acceleration Sensor|[0.12210429,0.21547815,9.198523]|1500663731492
533|MPU6500 Gyroscope Sensor|[0.056459017,0.10333065,0.013848438]|1500663731492
533|MPU6500 Acceleration Sensor|[-0.39983168,1.4508862,9.872491]|1500663731497
533|MPU6500 Gyroscope Sensor|[0.07456851,0.12357068,0.00958738]|1500663731498
533|MPU6500 Acceleration Sensor|[-0.5363012,2.980781,9.677363]|1500663731503
533|MPU6500 Gyroscope Sensor|[0.09054748,0.13848437,0.020240024]|1500663731502
533|MPU6500 Acceleration Sensor|[-0.19752164,5.4384294,11.130644]|1500663731507
533|MPU6500 Gyroscope Sensor|[0.12144015,0.15126756,0.027696876]|1500663731507
533|MPU6500 Acceleration Sensor|[0.89303726,5.1762643,12.117055]|1500663731512
533|MPU6500 Gyroscope Sensor|[0.20133498,0.15659387,0.014913702]|1500663731513
533|MPU6500 Acceleration Sensor|[1.4389153,3.1723173,11.702858]|1500663731517
533|MPU6500 Gyroscope Sensor|[0.25672874,0.18216023,-0.014913702]|1500663731518
533|MPU6500 Acceleration Sensor|[1.4664485,1.5334862,10.992977]|1500663731522
533|MPU6500 Gyroscope Sensor|[0.23755397,0.2034655,-0.018109497]|1500663731522
533|MPU6500 Acceleration Sensor|[0.37349546,1.2174516,8.833407]|1500663731528
533|MPU6500 Gyroscope Sensor|[0.18961707,0.19068234,-0.013848438]|1500663731528
533|MPU6500 Acceleration Sensor|[-1.2629414,1.5526398,9.67018]|1500663731533
533|MPU6500 Gyroscope Sensor|[0.1257012,0.165116,-0.015978966]|1500663731532
533|MPU6500 Acceleration Sensor|[-1.5191209,1.270124,10.105926]|1500663731537
533|MPU6500 Gyroscope Sensor|[0.11611383,0.14807177,-0.0053263223]|1500663731537
533|MPU6500 Acceleration Sensor|[-0.15322891,0.6811504,10.9582615]|1500663731542
533|MPU6500 Gyroscope Sensor|[0.12996227,0.128897,0.024501082]|1500663731542
533|MPU6500 Acceleration Sensor|[-0.1592144,0.8415619,10.38485]|1500663731548
533|MPU6500 Gyroscope Sensor|[0.1587244,0.12144015,0.03089267]|1500663731548
533|MPU6500 Acceleration Sensor|[-0.9780314,1.1408371,9.427169]|1500663731552
533|MPU6500 Gyroscope Sensor|[0.14061491,0.12996227,0.03089267]|1500663731552
533|MPU6500 Acceleration Sensor|[-1.2533646,0.36990416,11.258734]|1500663731558
533|MPU6500 Gyroscope Sensor|[0.07882957,0.16192019,0.05006743]|1500663731558
533|MPU6500 Acceleration Sensor|[-0.053869538,0.58298814,11.517307]|1500663731562
533|MPU6500 Gyroscope Sensor|[0.06924219,0.1470065,0.080960095]|1500663731562
533|MPU6500 Acceleration Sensor|[-1.0606314,2.597709,11.583148]|1500663731568
533|MPU6500 Gyroscope Sensor|[0.111852765,0.14274544,0.07563378]|1500663731568
533|MPU6500 Acceleration Sensor|[-0.45848963,4.2760444,11.469423]|1500663731572
533|MPU6500 Gyroscope Sensor|[0.18642128,0.15126756,0.06391586]|1500663731572
